Start of song
Instrument: piano
Start of notes
Note: beat=0, position=0, pitch=C6, duration=2, instrument=piano
Note: beat=17, position=11, pitch=A3, duration=16, instrument=piano
Note: beat=17, position=11, pitch=A4, duration=7, instrument=piano
Note: beat=18, position=5, pitch=E2, duration=21, instrument=piano
Note: beat=18, position=5, pitch=C5, duration=8, instrument=piano
Note: beat=18, position=11, pitch=C3, duration=15, instrument=piano
Note: beat=19, position=5, pitch=C4, duration=12, instrument=piano
Note: beat=19, position=5, pitch=C5, duration=5, instrument=piano
Note: beat=19, position=11, pitch=G3, duration=7, instrument=piano
Note: beat=19, position=11, pitch=G5, duration=5, instrument=piano
Note: beat=20, position=5, pitch=D2, duration=18, instrument=piano
Note: beat=20, position=5, pitch=F5, duration=8, instrument=piano
Note: beat=20, position=11, pitch=A2, duration=12, instrument=piano
Note: beat=21, position=2, pitch=A4, duration=2, instrument=piano
Note: beat=21, position=5, pitch=F3, duration=8, instrument=piano
Note: beat=21, position=5, pitch=A4, duration=6, instrument=piano
Note: beat=21, position=11, pitch=A3, duration=6, instrument=piano
Note: beat=21, position=11, pitch=D5, duration=5, instrument=piano
Note: beat=22, position=5, pitch=A2, duration=21, instrument=piano
Note: beat=22, position=5, pitch=C5, duration=18, instrument=piano
Note: beat=22, position=11, pitch=E3, duration=15, instrument=piano
Note: beat=23, position=5, pitch=C4, duration=11, instrument=piano
Note: beat=24, position=5, pitch=A#2, duration=18, instrument=piano
Note: beat=24, position=5, pitch=D5, duration=7, instrument=piano
Note: beat=24, position=11, pitch=F3, duration=11, instrument=piano
Note: beat=25, position=2, pitch=C5, duration=2, instrument=piano
Note: beat=25, position=5, pitch=A#3, duration=6, instrument=piano
Note: beat=25, position=5, pitch=D5, duration=3, instrument=piano
Note: beat=25, position=11, pitch=D4, duration=7, instrument=piano
Note: beat=25, position=11, pitch=D5, duration=3, instrument=piano
Note: beat=26, position=5, pitch=A2, duration=18, instrument=piano
Note: beat=26, position=5, pitch=C5, duration=5, instrument=piano
Note: beat=26, position=11, pitch=E3, duration=12, instrument=piano
Note: beat=27, position=5, pitch=C4, duration=12, instrument=piano
Note: beat=27, position=5, pitch=F4, duration=7, instrument=piano
Note: beat=27, position=11, pitch=E4, duration=6, instrument=piano
Note: beat=27, position=11, pitch=A4, duration=5, instrument=piano
Note: beat=28, position=5, pitch=G2, duration=20, instrument=piano
Note: beat=28, position=5, pitch=G4, duration=7, instrument=piano
Note: beat=28, position=11, pitch=A#2, duration=12, instrument=piano
Note: beat=29, position=2, pitch=F4, duration=5, instrument=piano
Note: beat=29, position=5, pitch=D4, duration=6, instrument=piano
Note: beat=29, position=8, pitch=A#3, duration=6, instrument=piano
Note: beat=29, position=11, pitch=A4, duration=6, instrument=piano
Note: beat=30, position=5, pitch=C3, duration=20, instrument=piano
Note: beat=30, position=5, pitch=G4, duration=20, instrument=piano
Note: beat=30, position=11, pitch=G3, duration=12, instrument=piano
Note: beat=31, position=5, pitch=C4, duration=6, instrument=piano
Note: beat=31, position=11, pitch=E4, duration=7, instrument=piano
Note: beat=32, position=5, pitch=F2, duration=18, instrument=piano
Note: beat=32, position=5, pitch=C5, duration=5, instrument=piano
Note: beat=32, position=11, pitch=C3, duration=18, instrument=piano
Note: beat=33, position=2, pitch=A4, duration=2, instrument=piano
Note: beat=33, position=5, pitch=A3, duration=12, instrument=piano
Note: beat=33, position=5, pitch=C5, duration=7, instrument=piano
Note: beat=33, position=11, pitch=C4, duration=7, instrument=piano
Note: beat=33, position=11, pitch=A4, duration=6, instrument=piano
Note: beat=34, position=5, pitch=E2, duration=18, instrument=piano
Note: beat=34, position=5, pitch=C5, duration=7, instrument=piano
Note: beat=34, position=11, pitch=C3, duration=11, instrument=piano
Note: beat=35, position=5, pitch=C4, duration=8, instrument=piano
Note: beat=35, position=5, pitch=C5, duration=5, instrument=piano
Note: beat=35, position=11, pitch=G3, duration=7, instrument=piano
Note: beat=35, position=11, pitch=G5, duration=4, instrument=piano
Note: beat=36, position=5, pitch=D2, duration=16, instrument=piano
Note: beat=36, position=5, pitch=F5, duration=6, instrument=piano
Note: beat=36, position=11, pitch=A2, duration=12, instrument=piano
Note: beat=37, position=2, pitch=G5, duration=2, instrument=piano
Note: beat=37, position=5, pitch=F3, duration=8, instrument=piano
Note: beat=37, position=5, pitch=A5, duration=6, instrument=piano
Note: beat=37, position=11, pitch=A3, duration=4, instrument=piano
Note: beat=37, position=11, pitch=A4, duration=7, instrument=piano
Note: beat=38, position=5, pitch=A2, duration=15, instrument=piano
Note: beat=38, position=5, pitch=C5, duration=11, instrument=piano
Note: beat=38, position=11, pitch=E3, duration=10, instrument=piano
Note: beat=39, position=5, pitch=C4, duration=12, instrument=piano
Note: beat=39, position=5, pitch=C5, duration=7, instrument=piano
Note: beat=39, position=11, pitch=F4, duration=6, instrument=piano
Note: beat=39, position=11, pitch=D5, duration=5, instrument=piano
Note: beat=40, position=5, pitch=A#2, duration=21, instrument=piano
Note: beat=40, position=5, pitch=F5, duration=8, instrument=piano
Note: beat=40, position=11, pitch=F3, duration=12, instrument=piano
Note: beat=41, position=2, pitch=D5, duration=4, instrument=piano
Note: beat=41, position=5, pitch=A#3, duration=8, instrument=piano
Note: beat=41, position=5, pitch=C5, duration=5, instrument=piano
Note: beat=41, position=11, pitch=D4, duration=5, instrument=piano
Note: beat=41, position=11, pitch=D5, duration=3, instrument=piano
Note: beat=42, position=5, pitch=A2, duration=18, instrument=piano
Note: beat=42, position=5, pitch=F5, duration=12, instrument=piano
Note: beat=42, position=11, pitch=E3, duration=11, instrument=piano
Note: beat=43, position=5, pitch=C4, duration=8, instrument=piano
Note: beat=43, position=5, pitch=C5, duration=8, instrument=piano
Note: beat=43, position=11, pitch=E4, duration=4, instrument=piano
Note: beat=43, position=11, pitch=D5, duration=5, instrument=piano
Note: beat=44, position=5, pitch=G2, duration=12, instrument=piano
Note: beat=44, position=5, pitch=A#3, duration=7, instrument=piano
Note: beat=44, position=5, pitch=D4, duration=6, instrument=piano
Note: beat=44, position=5, pitch=A5, duration=7, instrument=piano
Note: beat=45, position=2, pitch=G5, duration=2, instrument=piano
Note: beat=45, position=5, pitch=C3, duration=7, instrument=piano
Note: beat=45, position=5, pitch=E4, duration=7, instrument=piano
Note: beat=45, position=5, pitch=G4, duration=6, instrument=piano
Note: beat=45, position=5, pitch=F5, duration=6, instrument=piano
Note: beat=45, position=11, pitch=D5, duration=3, instrument=piano
Note: beat=46, position=5, pitch=F2, duration=21, instrument=piano
Note: beat=46, position=5, pitch=A3, duration=24, instrument=piano
Note: beat=46, position=5, pitch=C4, duration=24, instrument=piano
Note: beat=46, position=5, pitch=F5, duration=20, instrument=piano
Note: beat=46, position=11, pitch=C3, duration=18, instrument=piano
Note: beat=47, position=5, pitch=F3, duration=7, instrument=piano
Note: beat=47, position=11, pitch=F4, duration=5, instrument=piano
Note: beat=48, position=5, pitch=F2, duration=21, instrument=piano
Note: beat=48, position=5, pitch=A3, duration=16, instrument=piano
Note: beat=48, position=5, pitch=C4, duration=16, instrument=piano
Note: beat=48, position=5, pitch=C5, duration=6, instrument=piano
Note: beat=48, position=11, pitch=C3, duration=16, instrument=piano
Note: beat=49, position=2, pitch=A4, duration=4, instrument=piano
Note: beat=49, position=5, pitch=F3, duration=11, instrument=piano
Note: beat=49, position=5, pitch=C5, duration=6, instrument=piano
Note: beat=49, position=11, pitch=A3, duration=7, instrument=piano
Note: beat=49, position=11, pitch=A4, duration=7, instrument=piano
Note: beat=50, position=5, pitch=E2, duration=18, instrument=piano
Note: beat=50, position=5, pitch=C5, duration=8, instrument=piano
Note: beat=50, position=11, pitch=G3, duration=10, instrument=piano
Note: beat=51, position=5, pitch=C4, duration=10, instrument=piano
Note: beat=51, position=5, pitch=C5, duration=5, instrument=piano
Note: beat=51, position=11, pitch=G3, duration=6, instrument=piano
Note: beat=51, position=11, pitch=G5, duration=5, instrument=piano
Note: beat=52, position=5, pitch=D3, duration=18, instrument=piano
Note: beat=52, position=5, pitch=F5, duration=8, instrument=piano
Note: beat=52, position=11, pitch=A3, duration=12, instrument=piano
Note: beat=53, position=2, pitch=A4, duration=2, instrument=piano
Note: beat=53, position=5, pitch=D4, duration=6, instrument=piano
Note: beat=53, position=5, pitch=A4, duration=6, instrument=piano
Note: beat=53, position=11, pitch=F4, duration=7, instrument=piano
Note: beat=53, position=11, pitch=D5, duration=5, instrument=piano
Note: beat=54, position=5, pitch=A2, duration=18, instrument=piano
Note: beat=54, position=5, pitch=C5, duration=18, instrument=piano
Note: beat=54, position=11, pitch=E3, duration=11, instrument=piano
Note: beat=55, position=5, pitch=C4, duration=10, instrument=piano
Note: beat=55, position=11, pitch=E4, duration=5, instrument=piano
Note: beat=56, position=5, pitch=A#2, duration=18, instrument=piano
Note: beat=56, position=5, pitch=D5, duration=7, instrument=piano
Note: beat=56, position=11, pitch=F3, duration=10, instrument=piano
Note: beat=57, position=2, pitch=C5, duration=2, instrument=piano
Note: beat=57, position=5, pitch=D4, duration=11, instrument=piano
Note: beat=57, position=5, pitch=D5, duration=3, instrument=piano
Note: beat=57, position=11, pitch=D5, duration=3, instrument=piano
Note: beat=58, position=0, pitch=F4, duration=5, instrument=piano
Note: beat=58, position=5, pitch=F2, duration=16, instrument=piano
Note: beat=58, position=5, pitch=C5, duration=5, instrument=piano
Note: beat=58, position=11, pitch=C3, duration=12, instrument=piano
Note: beat=59, position=5, pitch=A3, duration=12, instrument=piano
Note: beat=59, position=5, pitch=F4, duration=7, instrument=piano
Note: beat=59, position=11, pitch=A4, duration=5, instrument=piano
Note: beat=60, position=0, pitch=F4, duration=6, instrument=piano
Note: beat=60, position=5, pitch=G2, duration=24, instrument=piano
Note: beat=60, position=5, pitch=G4, duration=7, instrument=piano
Note: beat=60, position=11, pitch=D3, duration=16, instrument=piano
Note: beat=61, position=2, pitch=F4, duration=5, instrument=piano
Note: beat=61, position=5, pitch=A#3, duration=7, instrument=piano
Note: beat=61, position=5, pitch=D4, duration=6, instrument=piano
Note: beat=61, position=11, pitch=F4, duration=6, instrument=piano
Note: beat=61, position=11, pitch=A4, duration=6, instrument=piano
Note: beat=62, position=5, pitch=C3, duration=24, instrument=piano
Note: beat=62, position=5, pitch=G4, duration=20, instrument=piano
Note: beat=62, position=11, pitch=G3, duration=16, instrument=piano
Note: beat=63, position=5, pitch=C4, duration=8, instrument=piano
Note: beat=63, position=11, pitch=G4, duration=7, instrument=piano
Note: beat=64, position=5, pitch=F2, duration=18, instrument=piano
Note: beat=64, position=5, pitch=C5, duration=5, instrument=piano
Note: beat=64, position=11, pitch=C3, duration=16, instrument=piano
Note: beat=64, position=11, pitch=A3, duration=7, instrument=piano
Note: beat=65, position=2, pitch=A4, duration=2, instrument=piano
Note: beat=65, position=5, pitch=C4, duration=18, instrument=piano
Note: beat=65, position=5, pitch=C5, duration=7, instrument=piano
Note: beat=65, position=11, pitch=A3, duration=8, instrument=piano
Note: beat=65, position=11, pitch=A4, duration=6, instrument=piano
Note: beat=66, position=5, pitch=E2, duration=18, instrument=piano
Note: beat=66, position=5, pitch=C5, duration=7, instrument=piano
Note: beat=66, position=11, pitch=G3, duration=7, instrument=piano
Note: beat=67, position=5, pitch=C4, duration=11, instrument=piano
Note: beat=67, position=5, pitch=C5, duration=5, instrument=piano
Note: beat=67, position=11, pitch=G3, duration=7, instrument=piano
Note: beat=67, position=11, pitch=G5, duration=4, instrument=piano
Note: beat=68, position=5, pitch=D2, duration=16, instrument=piano
Note: beat=68, position=5, pitch=F5, duration=6, instrument=piano
Note: beat=68, position=11, pitch=A2, duration=12, instrument=piano
Note: beat=69, position=2, pitch=G5, duration=2, instrument=piano
Note: beat=69, position=5, pitch=F3, duration=7, instrument=piano
Note: beat=69, position=5, pitch=A5, duration=6, instrument=piano
Note: beat=69, position=11, pitch=A3, duration=6, instrument=piano
Note: beat=69, position=11, pitch=F5, duration=4, instrument=piano
Note: beat=70, position=5, pitch=A2, duration=16, instrument=piano
Note: beat=70, position=5, pitch=E5, duration=9, instrument=piano
Note: beat=70, position=11, pitch=E3, duration=12, instrument=piano
Note: beat=71, position=5, pitch=C4, duration=12, instrument=piano
Note: beat=71, position=5, pitch=F5, duration=6, instrument=piano
Note: beat=71, position=11, pitch=E4, duration=6, instrument=piano
Note: beat=72, position=2, pitch=E5, duration=3, instrument=piano
Note: beat=72, position=5, pitch=A#2, duration=18, instrument=piano
Note: beat=72, position=5, pitch=D5, duration=6, instrument=piano
Note: beat=72, position=11, pitch=A#3, duration=12, instrument=piano
Note: beat=73, position=2, pitch=C5, duration=4, instrument=piano
Note: beat=73, position=5, pitch=C4, duration=8, instrument=piano
Note: beat=73, position=5, pitch=F5, duration=6, instrument=piano
Note: beat=73, position=11, pitch=F4, duration=5, instrument=piano
Note: beat=73, position=11, pitch=D5, duration=6, instrument=piano
Note: beat=74, position=5, pitch=A2, duration=18, instrument=piano
Note: beat=74, position=5, pitch=C5, duration=7, instrument=piano
Note: beat=74, position=11, pitch=E3, duration=12, instrument=piano
Note: beat=75, position=5, pitch=C4, duration=7, instrument=piano
Note: beat=75, position=5, pitch=F5, duration=6, instrument=piano
Note: beat=75, position=11, pitch=E4, duration=7, instrument=piano
Note: beat=75, position=11, pitch=E5, duration=5, instrument=piano
Note: beat=76, position=5, pitch=G2, duration=18, instrument=piano
Note: beat=76, position=5, pitch=D5, duration=5, instrument=piano
Note: beat=76, position=11, pitch=D3, duration=12, instrument=piano
Note: beat=77, position=2, pitch=C5, duration=4, instrument=piano
Note: beat=77, position=5, pitch=A#3, duration=8, instrument=piano
Note: beat=77, position=5, pitch=D5, duration=4, instrument=piano
Note: beat=77, position=11, pitch=F4, duration=7, instrument=piano
Note: beat=77, position=11, pitch=F5, duration=4, instrument=piano
Note: beat=78, position=5, pitch=C3, duration=16, instrument=piano
Note: beat=78, position=5, pitch=E4, duration=16, instrument=piano
Note: beat=78, position=5, pitch=G5, duration=9, instrument=piano
Note: beat=78, position=11, pitch=G3, duration=9, instrument=piano
Note: beat=79, position=5, pitch=G4, duration=7, instrument=piano
Note: beat=79, position=5, pitch=A5, duration=4, instrument=piano
Note: beat=79, position=8, pitch=G5, duration=4, instrument=piano
Note: beat=79, position=11, pitch=E4, duration=5, instrument=piano
Note: beat=79, position=11, pitch=F5, duration=4, instrument=piano
Note: beat=80, position=2, pitch=G5, duration=2, instrument=piano
Note: beat=80, position=5, pitch=F2, duration=16, instrument=piano
Note: beat=80, position=5, pitch=A5, duration=6, instrument=piano
Note: beat=80, position=11, pitch=C3, duration=10, instrument=piano
Note: beat=81, position=2, pitch=G5, duration=3, instrument=piano
Note: beat=81, position=5, pitch=A3, duration=12, instrument=piano
Note: beat=81, position=5, pitch=C4, duration=24, instrument=piano
Note: beat=81, position=5, pitch=F5, duration=3, instrument=piano
Note: beat=81, position=11, pitch=C6, duration=3, instrument=piano
Note: beat=82, position=5, pitch=E2, duration=18, instrument=piano
Note: beat=82, position=5, pitch=G5, duration=8, instrument=piano
Note: beat=82, position=11, pitch=B2, duration=11, instrument=piano
Note: beat=83, position=5, pitch=G3, duration=8, instrument=piano
Note: beat=83, position=5, pitch=C4, duration=7, instrument=piano
Note: beat=83, position=5, pitch=A5, duration=3, instrument=piano
Note: beat=83, position=8, pitch=G5, duration=4, instrument=piano
Note: beat=83, position=11, pitch=F5, duration=2, instrument=piano
Note: beat=84, position=2, pitch=G5, duration=3, instrument=piano
Note: beat=84, position=5, pitch=D2, duration=16, instrument=piano
Note: beat=84, position=5, pitch=F3, duration=10, instrument=piano
Note: beat=84, position=5, pitch=A3, duration=11, instrument=piano
Note: beat=84, position=5, pitch=F5, duration=7, instrument=piano
Note: beat=84, position=11, pitch=A2, duration=12, instrument=piano
Note: beat=85, position=2, pitch=E5, duration=3, instrument=piano
Note: beat=85, position=5, pitch=F3, duration=6, instrument=piano
Note: beat=85, position=5, pitch=A3, duration=6, instrument=piano
Note: beat=85, position=5, pitch=D5, duration=4, instrument=piano
Note: beat=85, position=11, pitch=D3, duration=5, instrument=piano
Note: beat=85, position=11, pitch=A5, duration=4, instrument=piano
Note: beat=86, position=5, pitch=A2, duration=15, instrument=piano
Note: beat=86, position=5, pitch=C4, duration=11, instrument=piano
Note: beat=86, position=5, pitch=E4, duration=11, instrument=piano
Note: beat=86, position=5, pitch=E5, duration=8, instrument=piano
Note: beat=86, position=11, pitch=E3, duration=11, instrument=piano
Note: beat=87, position=5, pitch=C4, duration=6, instrument=piano
Note: beat=87, position=5, pitch=E4, duration=6, instrument=piano
Note: beat=87, position=5, pitch=F5, duration=6, instrument=piano
Note: beat=88, position=2, pitch=E5, duration=4, instrument=piano
Note: beat=88, position=5, pitch=A#2, duration=15, instrument=piano
Note: beat=88, position=5, pitch=D4, duration=10, instrument=piano
Note: beat=88, position=5, pitch=D5, duration=7, instrument=piano
Note: beat=88, position=8, pitch=A#3, duration=9, instrument=piano
Note: beat=89, position=2, pitch=C5, duration=2, instrument=piano
Note: beat=89, position=5, pitch=D4, duration=9, instrument=piano
Note: beat=89, position=5, pitch=F4, duration=8, instrument=piano
Note: beat=89, position=5, pitch=D6, duration=2, instrument=piano
Note: beat=89, position=11, pitch=D6, duration=3, instrument=piano
Note: beat=90, position=5, pitch=A2, duration=16, instrument=piano
Note: beat=90, position=5, pitch=C4, duration=11, instrument=piano
Note: beat=90, position=5, pitch=E4, duration=11, instrument=piano
Note: beat=90, position=5, pitch=C6, duration=10, instrument=piano
Note: beat=90, position=11, pitch=E3, duration=11, instrument=piano
Note: beat=91, position=5, pitch=C4, duration=5, instrument=piano
Note: beat=91, position=5, pitch=E4, duration=5, instrument=piano
Note: beat=91, position=5, pitch=A5, duration=7, instrument=piano
Note: beat=91, position=11, pitch=C6, duration=7, instrument=piano
Note: beat=92, position=5, pitch=G2, duration=16, instrument=piano
Note: beat=92, position=5, pitch=A#3, duration=11, instrument=piano
Note: beat=92, position=5, pitch=D4, duration=11, instrument=piano
Note: beat=92, position=5, pitch=A#5, duration=6, instrument=piano
Note: beat=92, position=11, pitch=A#2, duration=11, instrument=piano
Note: beat=93, position=2, pitch=G5, duration=3, instrument=piano
Note: beat=93, position=5, pitch=A#3, duration=6, instrument=piano
Note: beat=93, position=5, pitch=D4, duration=5, instrument=piano
Note: beat=93, position=5, pitch=F5, duration=3, instrument=piano
Note: beat=93, position=11, pitch=D5, duration=4, instrument=piano
Note: beat=94, position=5, pitch=C2, duration=18, instrument=piano
Note: beat=94, position=5, pitch=E3, duration=11, instrument=piano
Note: beat=94, position=5, pitch=G3, duration=11, instrument=piano
Note: beat=94, position=5, pitch=G5, duration=6, instrument=piano
Note: beat=94, position=11, pitch=G2, duration=12, instrument=piano
Note: beat=95, position=5, pitch=E3, duration=4, instrument=piano
Note: beat=95, position=5, pitch=G3, duration=5, instrument=piano
Note: beat=95, position=5, pitch=A5, duration=4, instrument=piano
Note: beat=95, position=8, pitch=C3, duration=8, instrument=piano
Note: beat=95, position=8, pitch=G5, duration=4, instrument=piano
Note: beat=95, position=11, pitch=E3, duration=3, instrument=piano
Note: beat=95, position=11, pitch=G3, duration=3, instrument=piano
Note: beat=95, position=11, pitch=F5, duration=4, instrument=piano
Note: beat=96, position=2, pitch=G5, duration=2, instrument=piano
Note: beat=96, position=5, pitch=F2, duration=18, instrument=piano
Note: beat=96, position=5, pitch=A3, duration=11, instrument=piano
Note: beat=96, position=5, pitch=C4, duration=11, instrument=piano
Note: beat=96, position=5, pitch=A5, duration=6, instrument=piano
Note: beat=96, position=11, pitch=C3, duration=20, instrument=piano
Note: beat=97, position=2, pitch=G5, duration=3, instrument=piano
Note: beat=97, position=5, pitch=A3, duration=11, instrument=piano
Note: beat=97, position=5, pitch=C4, duration=11, instrument=piano
Note: beat=97, position=5, pitch=F5, duration=3, instrument=piano
Note: beat=97, position=11, pitch=C6, duration=3, instrument=piano
Note: beat=98, position=5, pitch=E2, duration=18, instrument=piano
Note: beat=98, position=5, pitch=G3, duration=10, instrument=piano
Note: beat=98, position=5, pitch=C4, duration=10, instrument=piano
Note: beat=98, position=5, pitch=G5, duration=8, instrument=piano
Note: beat=98, position=11, pitch=C3, duration=10, instrument=piano
Note: beat=99, position=5, pitch=G3, duration=7, instrument=piano
Note: beat=99, position=5, pitch=C4, duration=6, instrument=piano
Note: beat=99, position=5, pitch=A5, duration=3, instrument=piano
Note: beat=99, position=8, pitch=G5, duration=4, instrument=piano
Note: beat=99, position=11, pitch=F5, duration=2, instrument=piano
Note: beat=100, position=2, pitch=G5, duration=3, instrument=piano
Note: beat=100, position=5, pitch=D2, duration=16, instrument=piano
Note: beat=100, position=5, pitch=F3, duration=11, instrument=piano
Note: beat=100, position=5, pitch=A3, duration=11, instrument=piano
Note: beat=100, position=5, pitch=F5, duration=7, instrument=piano
Note: beat=100, position=11, pitch=A2, duration=12, instrument=piano
Note: beat=101, position=2, pitch=E5, duration=3, instrument=piano
Note: beat=101, position=5, pitch=F3, duration=6, instrument=piano
Note: beat=101, position=5, pitch=A3, duration=6, instrument=piano
Note: beat=101, position=5, pitch=D5, duration=4, instrument=piano
Note: beat=101, position=11, pitch=D3, duration=6, instrument=piano
Note: beat=101, position=11, pitch=F5, duration=6, instrument=piano
Note: beat=102, position=5, pitch=A2, duration=18, instrument=piano
Note: beat=102, position=5, pitch=C4, duration=11, instrument=piano
Note: beat=102, position=5, pitch=E4, duration=11, instrument=piano
Note: beat=102, position=5, pitch=C6, duration=5, instrument=piano
Note: beat=102, position=11, pitch=E3, duration=16, instrument=piano
Note: beat=102, position=11, pitch=A5, duration=6, instrument=piano
Note: beat=103, position=5, pitch=C4, duration=11, instrument=piano
Note: beat=103, position=5, pitch=E4, duration=8, instrument=piano
Note: beat=103, position=5, pitch=A5, duration=7, instrument=piano
Note: beat=103, position=11, pitch=A3, duration=2, instrument=piano
Note: beat=104, position=2, pitch=G5, duration=2, instrument=piano
Note: beat=104, position=5, pitch=A#2, duration=18, instrument=piano
Note: beat=104, position=5, pitch=D4, duration=10, instrument=piano
Note: beat=104, position=5, pitch=F5, duration=3, instrument=piano
Note: beat=104, position=11, pitch=D5, duration=5, instrument=piano
Note: beat=105, position=5, pitch=D4, duration=7, instrument=piano
Note: beat=105, position=5, pitch=F4, duration=7, instrument=piano
Note: beat=105, position=5, pitch=A5, duration=7, instrument=piano
Note: beat=106, position=2, pitch=G5, duration=2, instrument=piano
Note: beat=106, position=5, pitch=A2, duration=16, instrument=piano
Note: beat=106, position=5, pitch=C4, duration=11, instrument=piano
Note: beat=106, position=5, pitch=E4, duration=11, instrument=piano
Note: beat=106, position=5, pitch=F5, duration=4, instrument=piano
